"","HomePlanet","CryoSleep","deck","num","side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Transported"
"54","Europa","1","A",1,"S","TRAPPIST-1e",38,"0",0,0,0,0,0,"1"
"55","Europa","0","A",1,"S","TRAPPIST-1e",27,"0",279,605,3374,286,3,"1"
"56","Earth","1","G",7,"S","PSO J318.5-22",36,"0",0,0,0,0,0,"0"
"57","Earth","0","F",12,"S","TRAPPIST-1e",22,"0",45,1096,148,1377,1,"0"
"58","Earth","0","F",13,"S","TRAPPIST-1e",62,"0",0,592,0,17,25,"0"
"59","Mars","1","F",14,"S","TRAPPIST-1e",15,"0",0,0,0,0,0,"1"
"60","Europa","1","E",3,"S","TRAPPIST-1e",33,"0",0,0,0,0,0,"1"
"61","Earth","0","G",6,"P","TRAPPIST-1e",62,"0",1,153,197,0,460,"0"
"62","Earth","1","G",10,"S","PSO J318.5-22",0,"0",0,0,0,0,0,"1"
"63","Earth","0","G",10,"S","TRAPPIST-1e",18,"0",1,258,446,0,0,"1"
"64","Earth","0","F",15,"S","55 Cancri e",21,"0",1946,37,0,0,24,"0"
"65","Mars","0","E",4,"S","TRAPPIST-1e",36,"0",793,0,2,253,0,"0"
"66","Earth","0","F",16,"S","TRAPPIST-1e",42,"0",887,0,9,6,0,"1"
"67","Earth","0","F",13,"P","TRAPPIST-1e",19,"0",190,0,5,1,726,"0"
"68","Earth","0","F",14,"P","TRAPPIST-1e",17,"0",16,2165,0,0,52,"0"
"69","Earth","0","F",17,"S","TRAPPIST-1e",14,"0",0,1,0,0,1063,"0"
"70","Mars","0","D",3,"P","PSO J318.5-22",37,"0",46,83,738,0,12,"0"
"71","Europa","0","C",3,"S","TRAPPIST-1e",42,"0",1,8397,0,0,506,"1"
"72","Mars","0","F",18,"S","TRAPPIST-1e",27,"0",147,0,1018,0,0,"1"
"73","Mars","0","F",15,"P","TRAPPIST-1e",28,"0",14,0,1295,0,0,"1"
"74","Europa","0","C",4,"S","TRAPPIST-1e",38,"0",0,5840,0,321,9654,"0"
"75","Earth","1","G",13,"S","TRAPPIST-1e",13,"0",0,0,0,0,0,"0"
"76","Mars","0","F",16,"P","TRAPPIST-1e",42,"0",7406,0,0,0,0,"0"
"77","Mars","1","F",16,"P","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"78","Mars","0","F",16,"P","TRAPPIST-1e",8,"0",0,0,0,0,0,"1"
"79","Earth","0","G",14,"S","TRAPPIST-1e",24,"0",688,0,0,0,17,"1"
"80","Europa","1","C",5,"S","TRAPPIST-1e",40,"0",0,0,0,0,0,"1"
"81","Earth","0","F",17,"P","TRAPPIST-1e",43,"0",211,0,0,638,513,"0"
"82","Mars","1","E",5,"S","PSO J318.5-22",45,"0",0,0,0,0,0,"1"
"83","Earth","1","G",15,"S","TRAPPIST-1e",35,"0",0,0,0,0,0,"1"
"84","Earth","1","G",16,"S","TRAPPIST-1e",26,"0",0,0,0,0,0,"1"
"85","Earth","0","F",20,"S","TRAPPIST-1e",27,"0",1,697,31,188,0,"0"
"86","Earth","0","G",9,"P","TRAPPIST-1e",19,"0",0,0,670,1,34,"0"
"87","Earth","1","G",9,"P","TRAPPIST-1e",0,"0",0,0,0,0,0,"1"
"88","Earth","1","G",9,"P","TRAPPIST-1e",3,"0",0,0,0,0,0,"1"
"89","Europa","0","A",2,"S","TRAPPIST-1e",54,"0",0,1208,0,3,637,"0"
"90","Earth","0","G",11,"P","TRAPPIST-1e",26,"0",0,856,5,32,0,"0"
"91","Earth","0","G",11,"P","TRAPPIST-1e",26,"0",0,2811,957,0,87,"1"
"92","Earth","0","F",19,"P","PSO J318.5-22",23,"0",311,427,526,37,0,"0"
"93","Earth","0","G",12,"P","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"94","Mars","1","F",722,"S","TRAPPIST-1e",31,"0",0,0,0,0,0,"1"
"95","Earth","0","F",23,"S","TRAPPIST-1e",18,"0",0,0,0,830,91,"0"
"96","Earth","0","F",24,"S","TRAPPIST-1e",24,"0",0,0,0,0,17,"1"
"97","Earth","1","G",18,"S","55 Cancri e",9,"0",0,0,0,0,0,"1"
"98","Earth","1","G",18,"S","TRAPPIST-1e",6,"0",0,0,0,0,0,"0"
"99","Earth","0","F",21,"P","TRAPPIST-1e",27,"0",0,0,570,2,131,"0"
"100","Mars","0","D",2,"S","TRAPPIST-1e",21,"0",1743,5,17,0,0,"0"
"101","Earth","1","G",19,"S","TRAPPIST-1e",23,"0",0,0,0,0,0,"0"
"102","Earth","0","G",19,"S","TRAPPIST-1e",31,"0",562,0,326,0,0,"0"
"103","Earth","0","G",19,"S","TRAPPIST-1e",0,"0",0,0,0,0,0,"1"
"104","Europa","0","A",4,"P","TRAPPIST-1e",32,"0",0,410,6,3929,764,"0"
"105","Europa","0","B",5,"P","TRAPPIST-1e",40,"0",0,331,0,0,1687,"0"
"106","Europa","0","B",5,"P","TRAPPIST-1e",42,"0",2209,11418,0,1868,445,"1"
"107","Europa","1","B",5,"P","TRAPPIST-1e",28,"0",0,0,0,0,0,"1"
"108","Europa","1","E",6,"S","TRAPPIST-1e",29,"0",0,0,0,0,0,"1"
"109","Europa","0","B",1,"S","55 Cancri e",48,"1",0,2537,87,17,13,"1"
"110","Earth","0","F",23,"P","TRAPPIST-1e",64,"0",0,0,804,0,0,"1"
"111","Earth","0","G",20,"S","TRAPPIST-1e",27,"0",82,157,429,238,1,"0"
"112","Mars","1","F",24,"P","TRAPPIST-1e",26,"0",0,0,0,0,0,"1"
"113","Europa","0","D",4,"P","TRAPPIST-1e",33,"0",1,2223,0,12,404,"1"
"114","Europa","0","A",0,"P","TRAPPIST-1e",39,"0",0,2344,0,65,6898,"0"
"115","Europa","1","A",0,"P","TRAPPIST-1e",13,"0",0,0,0,0,0,"1"
"116","Mars","1","F",25,"P","TRAPPIST-1e",24,"0",0,0,0,0,0,"1"
"117","Earth","0","G",21,"S","TRAPPIST-1e",29,"0",0,0,0,699,74,"0"
"118","Earth","0","F",27,"P","TRAPPIST-1e",18,"0",55,597,49,0,1,"0"
"119","Mars","1","F",27,"S","TRAPPIST-1e",67,"0",0,0,0,0,0,"1"
"120","Mars","0","E",7,"S","TRAPPIST-1e",35,"0",701,0,296,0,25,"0"
"121","Mars","0","D",3,"S","TRAPPIST-1e",61,"1",2353,334,9,316,2,"0"
"122","Mars","0","E",8,"S","TRAPPIST-1e",45,"0",2103,6,0,0,0,"0"
"123","Earth","1","G",22,"S","PSO J318.5-22",22,"0",0,0,0,0,0,"1"
"124","Mars","1","F",29,"S","TRAPPIST-1e",19,"0",0,0,0,0,0,"1"
"125","Mars","0","D",5,"S","TRAPPIST-1e",36,"0",2738,0,0,0,0,"0"
"126","Earth","0","G",17,"P","TRAPPIST-1e",19,"0",0,14,730,0,0,"1"
"127","Earth","0","G",23,"S","PSO J318.5-22",47,"0",97,418,126,25,55,"0"
"128","Earth","1","G",18,"P","TRAPPIST-1e",13,"0",0,0,0,0,0,"1"
"129","Earth","0","E",5,"P","TRAPPIST-1e",34,"0",0,22,0,564,207,"0"
"130","Europa","1","C",6,"S","55 Cancri e",35,"0",0,0,0,0,0,"1"
"131","Earth","1","G",19,"P","TRAPPIST-1e",24,"0",0,0,0,0,0,"1"
"132","Earth","0","F",29,"P","TRAPPIST-1e",26,"0",440,0,0,0,462,"0"
"133","Mars","0","F",30,"P","TRAPPIST-1e",31,"0",1773,0,97,0,0,"0"
"134","Earth","0","F",31,"S","TRAPPIST-1e",20,"0",0,420,210,0,0,"1"
"135","Earth","0","G",25,"S","TRAPPIST-1e",56,"0",0,0,0,0,0,"0"
"136","Earth","1","G",26,"S","TRAPPIST-1e",50,"0",0,0,0,0,0,"1"
"137","Mars","0","F",31,"P","TRAPPIST-1e",42,"0",1072,0,10,0,76,"0"
"138","Earth","1","G",27,"S","55 Cancri e",31,"0",0,0,0,0,0,"1"
"139","Earth","1","G",20,"P","55 Cancri e",38,"0",0,0,0,0,0,"0"
"140","Earth","0","F",32,"P","TRAPPIST-1e",41,"0",0,0,0,0,607,"0"
"141","Earth","0","G",22,"P","TRAPPIST-1e",22,"0",4119,0,0,0,61,"0"
"142","Europa","1","B",8,"P","TRAPPIST-1e",26,"0",0,0,0,0,0,"1"
"143","Europa","1","B",8,"P","TRAPPIST-1e",17,"0",0,0,0,0,0,"1"
"144","Earth","0","G",28,"S","TRAPPIST-1e",57,"0",50,1688,0,0,135,"1"
"145","Earth","1","G",28,"S","PSO J318.5-22",17,"0",0,0,0,0,0,"0"
"146","Mars","1","F",37,"P","TRAPPIST-1e",35,"0",0,0,0,0,0,"1"
"147","Mars","1","F",35,"S","TRAPPIST-1e",13,"0",0,0,0,0,0,"1"
"148","Mars","0","F",35,"S","TRAPPIST-1e",27,"0",1365,0,48,22,137,"0"
"149","Earth","1","G",23,"P","TRAPPIST-1e",31,"0",0,0,0,0,0,"0"
"150","Earth","0","E",10,"S","TRAPPIST-1e",24,"0",0,0,0,221,567,"0"
"151","Earth","1","G",30,"S","PSO J318.5-22",19,"0",0,0,0,0,0,"1"
"152","Earth","1","G",24,"P","TRAPPIST-1e",32,"0",0,0,0,0,0,"1"
"153","Earth","0","E",11,"S","TRAPPIST-1e",58,"0",0,985,0,5,0,"1"
"154","Earth","0","F",38,"P","55 Cancri e",21,"0",287,0,16,115,175,"0"
"155","Europa","0","B",2,"S","TRAPPIST-1e",38,"0",0,10346,1,14970,2111,"0"
"156","Mars","0","D",6,"S","TRAPPIST-1e",38,"0",3414,0,161,28,119,"0"
"157","Earth","0","G",26,"P","TRAPPIST-1e",19,"0",1,219,673,2,11,"1"
"158","Earth","0","G",26,"P","TRAPPIST-1e",0,"0",0,0,0,0,0,"0"
"159","Earth","0","G",26,"P","TRAPPIST-1e",3,"0",0,0,0,0,0,"1"
"160","Earth","0","G",27,"P","TRAPPIST-1e",20,"0",0,0,3,299,92,"0"
"161","Europa","1","C",3,"P","TRAPPIST-1e",24,"0",0,0,0,0,0,"1"
"162","Earth","0","F",36,"S","TRAPPIST-1e",37,"0",17,146,426,0,232,"1"
"163","Earth","0","G",28,"P","TRAPPIST-1e",25,"0",62,0,0,0,956,"0"
"164","Earth","1","G",31,"S","TRAPPIST-1e",56,"0",0,0,0,0,0,"1"
"165","Earth","0","E",8,"P","55 Cancri e",49,"0",84,3,401,202,98,"0"
"166","Earth","1","G",32,"S","55 Cancri e",11,"0",0,0,0,0,0,"0"
"167","Earth","1","G",29,"P","TRAPPIST-1e",1,"0",0,0,0,0,0,"1"
"168","Earth","0","G",29,"P","TRAPPIST-1e",8,"0",0,0,0,0,0,"0"
"169","Earth","0","G",29,"P","TRAPPIST-1e",39,"0",0,0,10,898,0,"0"
"170","Mars","1","F",41,"P","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"171","Mars","0","F",41,"P","TRAPPIST-1e",23,"0",875,0,8,1072,0,"0"
"172","Mars","0","F",41,"P","TRAPPIST-1e",0,"0",0,0,0,0,0,"1"
"173","Mars","0","F",42,"P","TRAPPIST-1e",39,"0",406,0,867,0,0,"1"
"174","Mars","0","D",5,"P","PSO J318.5-22",25,"0",1052,0,719,0,7,"0"
"175","Europa","0","C",5,"P","TRAPPIST-1e",36,"0",0,972,0,795,575,"0"
"176","Earth","1","G",30,"P","PSO J318.5-22",52,"0",0,0,0,0,0,"1"
"177","Earth","1","G",33,"S","TRAPPIST-1e",18,"0",0,0,0,0,0,"0"
"178","Earth","1","G",31,"P","TRAPPIST-1e",15,"0",0,0,0,0,0,"1"
"179","Europa","1","B",3,"S","TRAPPIST-1e",35,"0",0,0,0,0,0,"1"
"180","Europa","1","B",3,"S","TRAPPIST-1e",47,"0",0,0,0,0,0,"1"
"181","Europa","1","B",9,"P","55 Cancri e",45,"0",0,0,0,0,0,"1"
"182","Europa","0","A",2,"P","55 Cancri e",41,"0",0,2433,0,878,443,"1"
"183","Europa","1","C",8,"S","TRAPPIST-1e",51,"0",0,0,0,0,0,"1"
"184","Earth","0","G",34,"S","TRAPPIST-1e",29,"0",0,2,66,0,705,"0"
"185","Europa","0","C",9,"S","55 Cancri e",29,"0",2,1720,12,1125,122,"1"
"186","Earth","1","G",32,"P","PSO J318.5-22",19,"0",0,0,0,0,0,"0"
"187","Mars","1","D",6,"P","55 Cancri e",24,"0",0,0,0,0,0,"1"
"188","Mars","0","F",44,"P","TRAPPIST-1e",29,"0",902,1,137,0,0,"1"
"189","Mars","1","F",44,"P","TRAPPIST-1e",11,"0",0,0,0,0,0,"1"
"190","Mars","0","F",44,"P","TRAPPIST-1e",17,"0",848,0,307,182,0,"0"
"191","Earth","0","E",9,"P","TRAPPIST-1e",13,"0",192,0,0,51,739,"0"
"192","Earth","0","F",45,"P","TRAPPIST-1e",35,"0",147,188,0,10,387,"0"
"193","Earth","0","F",46,"P","TRAPPIST-1e",21,"0",367,281,0,0,146,"0"
"194","Earth","0","F",40,"S","55 Cancri e",21,"0",0,56,0,0,1918,"0"
"195","Earth","0","F",47,"P","TRAPPIST-1e",38,"0",1517,0,0,27,0,"0"
"196","Earth","1","G",36,"P","TRAPPIST-1e",19,"0",0,0,0,0,0,"1"
"197","Earth","1","G",37,"P","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"198","Earth","0","G",37,"P","TRAPPIST-1e",0,"0",0,0,0,0,0,"1"
"199","Earth","1","G",37,"P","TRAPPIST-1e",13,"0",0,0,0,0,0,"0"
"200","Earth","0","E",10,"P","TRAPPIST-1e",25,"0",122,84,0,0,0,"0"
"201","Earth","0","F",48,"P","TRAPPIST-1e",16,"0",0,3,0,0,1099,"0"
"202","Earth","0","G",37,"P","55 Cancri e",1,"0",0,0,0,0,0,"0"
"203","Earth","1","G",37,"P","TRAPPIST-1e",15,"0",0,0,0,0,0,"1"
"204","Mars","0","E",13,"S","55 Cancri e",21,"0",2237,0,119,0,0,"0"
"205","Mars","0","E",13,"S","TRAPPIST-1e",23,"0",1215,80,1,2,0,"0"
"206","Mars","0","E",13,"S","TRAPPIST-1e",33,"0",1933,12,188,1,0,"0"
"207","Mars","1","E",13,"S","TRAPPIST-1e",21,"0",0,0,0,0,0,"1"
"208","Mars","0","E",13,"S","TRAPPIST-1e",41,"0",1230,0,301,43,1023,"0"
"209","Mars","0","E",13,"S","TRAPPIST-1e",16,"0",915,0,221,234,0,"0"
"210","Mars","1","E",13,"S","TRAPPIST-1e",42,"0",0,0,0,0,0,"0"
"211","Mars","0","F",41,"S","TRAPPIST-1e",20,"0",1406,0,0,11,0,"0"
"212","Mars","1","F",41,"S","TRAPPIST-1e",24,"0",0,0,0,0,0,"1"
"213","Mars","1","E",14,"S","TRAPPIST-1e",16,"0",0,0,0,0,0,"1"
"214","Earth","0","G",35,"S","TRAPPIST-1e",21,"0",0,2,665,0,9,"0"
"215","Mars","0","F",42,"S","TRAPPIST-1e",32,"1",181,0,5,1634,0,"0"
"216","Earth","1","G",38,"P","PSO J318.5-22",58,"0",0,0,0,0,0,"1"
"217","Earth","0","F",43,"S","TRAPPIST-1e",24,"0",4,7,0,713,79,"0"
"218","Mars","0","F",44,"S","TRAPPIST-1e",30,"0",85,0,1,1720,0,"0"
"219","Earth","1","G",36,"S","PSO J318.5-22",27,"0",0,0,0,0,0,"0"
"220","Mars","0","F",45,"S","TRAPPIST-1e",32,"0",56,0,256,1438,0,"0"
"221","Earth","0","F",50,"P","TRAPPIST-1e",43,"0",7,888,0,0,0,"0"
"222","Europa","1","B",11,"P","TRAPPIST-1e",42,"0",0,0,0,0,0,"1"
"223","Mars","0","D",240,"S","TRAPPIST-1e",37,"0",637,0,0,92,319,"0"
"224","Mars","1","F",52,"P","TRAPPIST-1e",35,"0",0,0,0,0,0,"1"
"225","Europa","0","E",11,"P","55 Cancri e",33,"0",0,1249,0,4812,1116,"0"
"226","Earth","0","F",46,"S","TRAPPIST-1e",18,"0",313,1,691,283,0,"0"
"227","Earth","1","G",37,"S","TRAPPIST-1e",21,"0",0,0,0,0,0,"0"
"228","Mars","1","F",1701,"S","TRAPPIST-1e",43,"0",0,0,0,0,0,"1"
"229","Mars","1","F",47,"S","55 Cancri e",14,"0",0,0,0,0,0,"1"
"230","Europa","0","C",6,"P","55 Cancri e",46,"0",0,3571,0,0,7,"1"
"231","Europa","0","C",6,"P","TRAPPIST-1e",33,"0",0,86,796,584,10912,"0"
"232","Mars","0","D",8,"P","TRAPPIST-1e",21,"0",2947,0,287,27,0,"0"
"233","Europa","0","C",10,"S","TRAPPIST-1e",33,"0",0,1,0,8620,1063,"0"
"234","Earth","1","G",38,"S","PSO J318.5-22",47,"0",0,0,0,0,0,"0"
"235","Europa","1","C",11,"S","55 Cancri e",54,"0",0,0,0,0,0,"1"
"236","Earth","0","F",53,"P","TRAPPIST-1e",30,"0",335,695,541,0,0,"0"
"237","Earth","0","G",42,"P","TRAPPIST-1e",29,"0",272,615,0,0,1,"0"
"238","Earth","0","F",54,"P","TRAPPIST-1e",21,"0",702,172,408,2,6,"1"
"239","Europa","1","A",3,"S","TRAPPIST-1e",24,"0",0,0,0,0,0,"1"
"240","Mars","0","F",49,"S","55 Cancri e",21,"0",1664,0,28,0,0,"0"
"241","Mars","1","F",49,"S","TRAPPIST-1e",60,"0",0,0,0,0,0,"1"
"242","Earth","0","F",50,"S","TRAPPIST-1e",22,"0",0,0,313,299,92,"0"
"243","Europa","0","E",16,"S","TRAPPIST-1e",26,"0",0,4810,0,981,2054,"0"
"244","Earth","0","F",56,"P","TRAPPIST-1e",26,"0",66,29,0,0,803,"0"
"245","Earth","1","G",43,"P","TRAPPIST-1e",28,"0",0,0,0,0,0,"1"
"246","Europa","1","D",8,"S","TRAPPIST-1e",39,"0",0,0,0,0,0,"1"
"247","Earth","0","F",51,"S","TRAPPIST-1e",13,"0",118,0,0,754,1,"0"
"248","Earth","0","F",52,"S","55 Cancri e",47,"0",0,231,592,0,0,"1"
"249","Earth","0","F",59,"P","TRAPPIST-1e",63,"0",0,25,128,0,1240,"0"
"250","Europa","1","D",9,"S","55 Cancri e",19,"0",0,0,0,0,0,"1"
"251","Earth","0","F",61,"P","55 Cancri e",50,"0",44,2390,0,53,0,"1"
"252","Earth","0","F",1672,"P","TRAPPIST-1e",35,"0",0,0,0,888,0,"0"
"253","Earth","0","G",45,"P","TRAPPIST-1e",45,"0",0,97,0,14,333,"0"
"254","Earth","0","F",63,"P","TRAPPIST-1e",19,"0",0,0,2078,0,0,"1"
"255","Earth","0","F",54,"S","TRAPPIST-1e",21,"0",0,918,0,0,0,"1"
"256","Earth","1","G",46,"P","PSO J318.5-22",29,"0",0,0,0,0,0,"1"
"257","Earth","0","F",64,"P","TRAPPIST-1e",22,"0",146,654,1,0,2,"1"
"258","Europa","1","E",16,"P","TRAPPIST-1e",14,"0",0,0,0,0,0,"1"
"259","Europa","1","E",16,"P","55 Cancri e",42,"0",0,0,0,0,0,"1"
"260","Earth","0","F",65,"P","55 Cancri e",57,"0",3,1281,29,162,13,"0"
"261","Europa","1","B",121,"S","55 Cancri e",39,"0",0,0,0,0,0,"1"
"262","Europa","0","B",12,"P","TRAPPIST-1e",28,"0",0,587,32,6,1460,"0"
"263","Earth","0","F",55,"S","55 Cancri e",19,"0",0,0,0,0,828,"0"
"264","Europa","1","C",12,"S","55 Cancri e",19,"0",0,0,0,0,0,"1"
"265","Europa","0","B",7,"S","55 Cancri e",26,"0",0,4458,0,1157,262,"1"
"266","Europa","1","B",7,"S","TRAPPIST-1e",17,"0",0,0,0,0,0,"1"
"267","Europa","1","B",7,"S","TRAPPIST-1e",43,"0",0,0,0,0,0,"1"
"268","Europa","0","B",7,"S","55 Cancri e",9,"0",0,0,0,0,0,"1"
"269","Europa","0","D",10,"S","TRAPPIST-1e",40,"0",0,6500,88,1090,0,"1"
"270","Europa","1","B",8,"S","TRAPPIST-1e",50,"0",0,0,0,0,0,"1"
"271","Earth","0","G",47,"P","TRAPPIST-1e",24,"0",90,2,1324,17,0,"1"
"272","Europa","1","A",3,"P","55 Cancri e",57,"0",0,0,0,0,0,"1"
"273","Earth","1","G",564,"P","TRAPPIST-1e",16,"0",0,0,0,0,0,"0"
"274","Earth","0","F",67,"P","TRAPPIST-1e",23,"0",0,0,15,0,1370,"0"
"275","Earth","1","G",41,"S","TRAPPIST-1e",23,"0",0,0,0,0,0,"1"
"276","Europa","0","E",18,"S","TRAPPIST-1e",28,"0",0,422,0,1851,5166,"0"
"277","Europa","0","C",7,"P","55 Cancri e",23,"0",0,584,0,20,2469,"0"
"278","Earth","0","E",19,"S","TRAPPIST-1e",23,"0",368,175,259,1,101,"0"
"279","Earth","0","F",59,"S","TRAPPIST-1e",18,"0",0,0,1359,0,0,"1"
"280","Earth","0","F",60,"S","TRAPPIST-1e",18,"0",1194,0,157,6,0,"0"
"281","Europa","0","D",205,"P","TRAPPIST-1e",67,"0",0,230,0,4476,241,"0"
"282","Earth","0","F",68,"P","PSO J318.5-22",60,"0",7,540,1,0,4,"1"
"283","Earth","1","G",50,"P","55 Cancri e",18,"0",0,0,0,0,0,"1"
"284","Earth","0","F",68,"P","55 Cancri e",49,"0",331,0,0,318,0,"1"
"285","Earth","0","G",50,"P","55 Cancri e",0,"0",0,0,0,0,0,"1"
"286","Earth","0","G",51,"P","55 Cancri e",26,"0",386,0,74,0,1330,"0"
"287","Earth","1","G",42,"S","PSO J318.5-22",35,"0",0,0,0,0,0,"1"
"288","Europa","0","B",9,"S","TRAPPIST-1e",24,"0",0,2628,1828,170,0,"1"
"289","Europa","1","B",9,"S","TRAPPIST-1e",20,"0",0,0,0,0,0,"1"
"290","Earth","0","G",44,"S","TRAPPIST-1e",18,"0",0,2,0,1785,0,"0"
"291","Earth","0","G",44,"S","TRAPPIST-1e",21,"0",0,5,3,0,0,"0"
"292","Mars","0","F",61,"S","TRAPPIST-1e",59,"1",1018,0,209,0,0,"0"
"293","Earth","1","G",45,"S","PSO J318.5-22",13,"0",0,0,0,0,0,"0"
"294","Earth","1","G",53,"P","55 Cancri e",43,"0",0,0,0,0,0,"0"
"295","Earth","1","G",47,"S","TRAPPIST-1e",29,"0",0,0,0,0,0,"0"
"296","Earth","0","G",116,"S","TRAPPIST-1e",19,"0",17,0,784,0,2,"1"
"297","Europa","0","C",14,"S","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"298","Europa","0","C",14,"S","TRAPPIST-1e",32,"0",247,4651,0,46,202,"1"
"299","Europa","0","C",14,"S","TRAPPIST-1e",33,"0",443,317,0,148,1260,"0"
"300","Earth","0","F",72,"P","TRAPPIST-1e",25,"0",0,0,251,0,552,"0"
"301","Mars","1","F",73,"P","55 Cancri e",29,"0",0,0,0,0,0,"1"
"302","Mars","0","F",62,"S","TRAPPIST-1e",29,"0",5715,2,211,1476,0,"0"
